like: Topic: 0, Keyword number: 0
scene: Topic: 0, Keyword number: 1
much: Topic: 0, Keyword number: 2
would: Topic: 0, Keyword number: 3
back: Topic: 0, Keyword number: 4
world: Topic: 0, Keyword number: 5
father: Topic: 0, Keyword number: 6
instead: Topic: 0, Keyword number: 7
made: Topic: 0, Keyword number: 8
man: Topic: 0, Keyword number: 9
audience: Topic: 0, Keyword number: 10
human: Topic: 0, Keyword number: 11
white: Topic: 0, Keyword number: 12
first: Topic: 0, Keyword number: 13
end: Topic: 0, Keyword number: 14
film: Topic: 0, Keyword number: 15
story: Topic: 0, Keyword number: 16
could: Topic: 0, Keyword number: 17
boy: Topic: 0, Keyword number: 18
completely: Topic: 0, Keyword number: 19
movies: Topic: 0, Keyword number: 20
without: Topic: 0, Keyword number: 21
people: Topic: 0, Keyword number: 22
years: Topic: 0, Keyword number: 23
goes: Topic: 0, Keyword number: 24
master: Topic: 1, Keyword number: 0
drunken: Topic: 1, Keyword number: 1
man: Topic: 1, Keyword number: 2
kung: Topic: 1, Keyword number: 3
jackie_chan: Topic: 1, Keyword number: 4
chan: Topic: 1, Keyword number: 5
arts: Topic: 1, Keyword number: 6
films: Topic: 1, Keyword number: 7
drunken_master: Topic: 1, Keyword number: 8
life: Topic: 1, Keyword number: 9
martial_arts: Topic: 1, Keyword number: 10
family: Topic: 1, Keyword number: 11
christmas: Topic: 1, Keyword number: 12
father: Topic: 1, Keyword number: 13
movies: Topic: 1, Keyword number: 14
china: Topic: 1, Keyword number: 15
hong_kong: Topic: 1, Keyword number: 16
kong: Topic: 1, Keyword number: 17
hong: Topic: 1, Keyword number: 18
chinese: Topic: 1, Keyword number: 19
fei-hong: Topic: 1, Keyword number: 20
wonderful: Topic: 1, Keyword number: 21
wong: Topic: 1, Keyword number: 22
must: Topic: 1, Keyword number: 23
moments: Topic: 1, Keyword number: 24
film: Topic: 2, Keyword number: 0
it's: Topic: 2, Keyword number: 1
like: Topic: 2, Keyword number: 2
great: Topic: 2, Keyword number: 3
also: Topic: 2, Keyword number: 4
little: Topic: 2, Keyword number: 5
character: Topic: 2, Keyword number: 6
he's: Topic: 2, Keyword number: 7
would: Topic: 2, Keyword number: 8
there's: Topic: 2, Keyword number: 9
much: Topic: 2, Keyword number: 10
though: Topic: 2, Keyword number: 11
although: Topic: 2, Keyword number: 12
never: Topic: 2, Keyword number: 13
doesn't: Topic: 2, Keyword number: 14
since: Topic: 2, Keyword number: 15
shrek: Topic: 2, Keyword number: 16
many: Topic: 2, Keyword number: 17
long: Topic: 2, Keyword number: 18
bit: Topic: 2, Keyword number: 19
one: Topic: 2, Keyword number: 20
even: Topic: 2, Keyword number: 21
best: Topic: 2, Keyword number: 22
cameron: Topic: 2, Keyword number: 23
bad: Topic: 2, Keyword number: 24
action: Topic: 3, Keyword number: 0
men: Topic: 3, Keyword number: 1
movie: Topic: 3, Keyword number: 2
fight: Topic: 3, Keyword number: 3
effects: Topic: 3, Keyword number: 4
roles: Topic: 3, Keyword number: 5
world: Topic: 3, Keyword number: 6
mission: Topic: 3, Keyword number: 7
best: Topic: 3, Keyword number: 8
high: Topic: 3, Keyword number: 9
matrix: Topic: 3, Keyword number: 10
set: Topic: 3, Keyword number: 11
british: Topic: 3, Keyword number: 12
reeves: Topic: 3, Keyword number: 13
soldiers: Topic: 3, Keyword number: 14
picture: Topic: 3, Keyword number: 15
group: Topic: 3, Keyword number: 16
hong: Topic: 3, Keyword number: 17
film: Topic: 3, Keyword number: 18
review: Topic: 3, Keyword number: 19
hand: Topic: 3, Keyword number: 20
back: Topic: 3, Keyword number: 21
michael: Topic: 3, Keyword number: 22
captain: Topic: 3, Keyword number: 23
actors: Topic: 3, Keyword number: 24
life: Topic: 4, Keyword number: 0
simon: Topic: 4, Keyword number: 1
mickey: Topic: 4, Keyword number: 2
sweet: Topic: 4, Keyword number: 3
little: Topic: 4, Keyword number: 4
novel: Topic: 4, Keyword number: 5
birch: Topic: 4, Keyword number: 6
kill: Topic: 4, Keyword number: 7
without: Topic: 4, Keyword number: 8
simon_birch: Topic: 4, Keyword number: 9
depp: Topic: 4, Keyword number: 10
foster: Topic: 4, Keyword number: 11
subtle: Topic: 4, Keyword number: 12
death: Topic: 4, Keyword number: 13
maguire: Topic: 4, Keyword number: 14
god: Topic: 4, Keyword number: 15
beyond: Topic: 4, Keyword number: 16
change: Topic: 4, Keyword number: 17
telling: Topic: 4, Keyword number: 18
let: Topic: 4, Keyword number: 19
real: Topic: 4, Keyword number: 20
obsession: Topic: 4, Keyword number: 21
wood: Topic: 4, Keyword number: 22
home_alone: Topic: 4, Keyword number: 23
creation: Topic: 4, Keyword number: 24
sam: Topic: 5, Keyword number: 0
things: Topic: 5, Keyword number: 1
black: Topic: 5, Keyword number: 2
kelly: Topic: 5, Keyword number: 3
campbell: Topic: 5, Keyword number: 4
ray: Topic: 5, Keyword number: 5
bacon: Topic: 5, Keyword number: 6
one: Topic: 5, Keyword number: 7
wild: Topic: 5, Keyword number: 8
russell: Topic: 5, Keyword number: 9
film's: Topic: 5, Keyword number: 10
french: Topic: 5, Keyword number: 11
war: Topic: 5, Keyword number: 12
gets: Topic: 5, Keyword number: 13
full: Topic: 5, Keyword number: 14
street: Topic: 5, Keyword number: 15
kurtz: Topic: 5, Keyword number: 16
pollock: Topic: 5, Keyword number: 17
white: Topic: 5, Keyword number: 18
gilbert: Topic: 5, Keyword number: 19
jeff: Topic: 5, Keyword number: 20
best_friend's: Topic: 5, Keyword number: 21
suzie: Topic: 5, Keyword number: 22
gives: Topic: 5, Keyword number: 23
ryan: Topic: 5, Keyword number: 24
beloved: Topic: 6, Keyword number: 0
often: Topic: 6, Keyword number: 1
room: Topic: 6, Keyword number: 2
war: Topic: 6, Keyword number: 3
without: Topic: 6, Keyword number: 4
fight: Topic: 6, Keyword number: 5
young: Topic: 6, Keyword number: 6
rocky: Topic: 6, Keyword number: 7
middle: Topic: 6, Keyword number: 8
take: Topic: 6, Keyword number: 9
america: Topic: 6, Keyword number: 10
almost: Topic: 6, Keyword number: 11
sethe: Topic: 6, Keyword number: 12
wonderful: Topic: 6, Keyword number: 13
green_mile: Topic: 6, Keyword number: 14
seeing: Topic: 6, Keyword number: 15
problems: Topic: 6, Keyword number: 16
daughter: Topic: 6, Keyword number: 17
drama: Topic: 6, Keyword number: 18
unlike: Topic: 6, Keyword number: 19
intelligent: Topic: 6, Keyword number: 20
makes: Topic: 6, Keyword number: 21
sit: Topic: 6, Keyword number: 22
dangerous: Topic: 6, Keyword number: 23
horror: Topic: 6, Keyword number: 24
little: Topic: 7, Keyword number: 0
babe: Topic: 7, Keyword number: 1
original: Topic: 7, Keyword number: 2
felix: Topic: 7, Keyword number: 3
human: Topic: 7, Keyword number: 4
giant: Topic: 7, Keyword number: 5
deep: Topic: 7, Keyword number: 6
bird: Topic: 7, Keyword number: 7
including: Topic: 7, Keyword number: 8
comic: Topic: 7, Keyword number: 9
