near_dear: Topic: 0, Keyword number: 0
who's_thrilled: Topic: 0, Keyword number: 1
situation_usually: Topic: 0, Keyword number: 2
clutterbuck's_exclusive: Topic: 0, Keyword number: 3
clutterbuck_writes: Topic: 0, Keyword number: 4
accidentally_detonating: Topic: 0, Keyword number: 5
tries_acting: Topic: 0, Keyword number: 6
trash-talking: Topic: 0, Keyword number: 7
cheesy_schlock: Topic: 0, Keyword number: 8
quite_simply: Topic: 0, Keyword number: 9
research_behalf: Topic: 0, Keyword number: 10
eccentric_millionaire: Topic: 0, Keyword number: 11
written_thrillers: Topic: 0, Keyword number: 12
earth_real: Topic: 0, Keyword number: 13
ex-porn_star: Topic: 0, Keyword number: 14
inferior_remake: Topic: 0, Keyword number: 15
delightful_movie: Topic: 0, Keyword number: 16
results_judith: Topic: 0, Keyword number: 17
upbeat_truthful: Topic: 0, Keyword number: 18
ending_staying: Topic: 0, Keyword number: 19
contrived_happy: Topic: 0, Keyword number: 20
performances_careers: Topic: 0, Keyword number: 21
judith_motions: Topic: 0, Keyword number: 22
deep_love: Topic: 0, Keyword number: 23
earth_one: Topic: 0, Keyword number: 24
hobbes: Topic: 1, Keyword number: 0
fiorentino: Topic: 1, Keyword number: 1
dead-end: Topic: 1, Keyword number: 2
must_discover: Topic: 1, Keyword number: 3
groundlessness_must: Topic: 1, Keyword number: 4
outside_foreign: Topic: 1, Keyword number: 5
may_arouse: Topic: 1, Keyword number: 6
enjoyment_lady: Topic: 1, Keyword number: 7
knowledge_french: Topic: 1, Keyword number: 8
revolution_serves: Topic: 1, Keyword number: 9
inaction_episodic: Topic: 1, Keyword number: 10
lip_pampered: Topic: 1, Keyword number: 11
danger_endures: Topic: 1, Keyword number: 12
reacts_stunned: Topic: 1, Keyword number: 13
one_activist's: Topic: 1, Keyword number: 14
taking_fugitive: Topic: 1, Keyword number: 15
reaction_shot: Topic: 1, Keyword number: 16
woman's_reaction: Topic: 1, Keyword number: 17
could_face: Topic: 1, Keyword number: 18
stagy_parlor: Topic: 1, Keyword number: 19
almost_stagy: Topic: 1, Keyword number: 20
rioters_brandishing: Topic: 1, Keyword number: 21
september_massacres: Topic: 1, Keyword number: 22
events_glasses: Topic: 1, Keyword number: 23
sound_cheering: Topic: 1, Keyword number: 24
unzipped: Topic: 2, Keyword number: 0
bess: Topic: 2, Keyword number: 1
mizrahi: Topic: 2, Keyword number: 2
genuine: Topic: 2, Keyword number: 3
lucky: Topic: 2, Keyword number: 4
there's_nothing: Topic: 2, Keyword number: 5
ray: Topic: 2, Keyword number: 6
artist: Topic: 2, Keyword number: 7
danish: Topic: 2, Keyword number: 8
comply: Topic: 2, Keyword number: 9
dilapidated: Topic: 2, Keyword number: 10
emily: Topic: 2, Keyword number: 11
robin_williams: Topic: 2, Keyword number: 12
rating: Topic: 2, Keyword number: 13
fashion_industry: Topic: 2, Keyword number: 14
execution: Topic: 2, Keyword number: 15
falling: Topic: 2, Keyword number: 16
bumbling: Topic: 2, Keyword number: 17
there's: Topic: 2, Keyword number: 18
sleazy_pick-up: Topic: 2, Keyword number: 19
robbery--he_waltzes: Topic: 2, Keyword number: 20
danish_premiere: Topic: 2, Keyword number: 21
may_july: Topic: 2, Keyword number: 22
period_ultimo: Topic: 2, Keyword number: 23
made_period: Topic: 2, Keyword number: 24
way: Topic: 3, Keyword number: 0
character: Topic: 3, Keyword number: 1
he's: Topic: 3, Keyword number: 2
takes: Topic: 3, Keyword number: 3
zero: Topic: 3, Keyword number: 4
new: Topic: 3, Keyword number: 5
don't: Topic: 3, Keyword number: 6
goes: Topic: 3, Keyword number: 7
since: Topic: 3, Keyword number: 8
world: Topic: 3, Keyword number: 9
things: Topic: 3, Keyword number: 10
also: Topic: 3, Keyword number: 11
night: Topic: 3, Keyword number: 12
final: Topic: 3, Keyword number: 13
whose: Topic: 3, Keyword number: 14
without: Topic: 3, Keyword number: 15
white: Topic: 3, Keyword number: 16
moment: Topic: 3, Keyword number: 17
scene: Topic: 3, Keyword number: 18
whole: Topic: 3, Keyword number: 19
parents: Topic: 3, Keyword number: 20
john: Topic: 3, Keyword number: 21
knows: Topic: 3, Keyword number: 22
around: Topic: 3, Keyword number: 23
yet: Topic: 3, Keyword number: 24
downey: Topic: 4, Keyword number: 0
america's: Topic: 4, Keyword number: 1
imam: Topic: 4, Keyword number: 2
loft: Topic: 4, Keyword number: 3
ephron: Topic: 4, Keyword number: 4
perky: Topic: 4, Keyword number: 5
deliver: Topic: 4, Keyword number: 6
linger: Topic: 4, Keyword number: 7
lot_loved: Topic: 4, Keyword number: 8
twohy: Topic: 4, Keyword number: 9
