janet: Topic: 0, Keyword number: 0
musical: Topic: 0, Keyword number: 1
mars: Topic: 0, Keyword number: 2
participation: Topic: 0, Keyword number: 3
martians: Topic: 0, Keyword number: 4
bostwick: Topic: 0, Keyword number: 5
never_dies: Topic: 0, Keyword number: 6
brosnan: Topic: 0, Keyword number: 7
aliens: Topic: 0, Keyword number: 8
seem: Topic: 0, Keyword number: 9
special: Topic: 0, Keyword number: 10
evil: Topic: 0, Keyword number: 11
though: Topic: 0, Keyword number: 12
much: Topic: 0, Keyword number: 13
set: Topic: 0, Keyword number: 14
dvd_set: Topic: 0, Keyword number: 15
glenn: Topic: 0, Keyword number: 16
castle: Topic: 0, Keyword number: 17
steiger: Topic: 0, Keyword number: 18
seemed: Topic: 0, Keyword number: 19
effects: Topic: 0, Keyword number: 20
work: Topic: 0, Keyword number: 21
throw: Topic: 0, Keyword number: 22
tim: Topic: 0, Keyword number: 23
funny: Topic: 0, Keyword number: 24
table_crawls: Topic: 5, Keyword number: 0
precious_antique: Topic: 5, Keyword number: 1
tend_similar: Topic: 5, Keyword number: 2
story_seems: Topic: 5, Keyword number: 3
works_film: Topic: 5, Keyword number: 4
claire_forlani: Topic: 10, Keyword number: 0
joe: Topic: 10, Keyword number: 1
thrills_fun: Topic: 10, Keyword number: 2
soundtrack_wierd: Topic: 10, Keyword number: 3
thousand_marks: Topic: 10, Keyword number: 4
year_review: Topic: 10, Keyword number: 5
good_sweet: Topic: 10, Keyword number: 6
role_claire: Topic: 10, Keyword number: 7
major_studio: Topic: 10, Keyword number: 8
angst_man: Topic: 10, Keyword number: 9
little_distracting: Topic: 10, Keyword number: 10
feeling_martin: Topic: 10, Keyword number: 11
historical_epics: Topic: 10, Keyword number: 12
enrages: Topic: 10, Keyword number: 13
hopkins_showing: Topic: 10, Keyword number: 14
needs_said: Topic: 10, Keyword number: 15
pitt_anthony: Topic: 10, Keyword number: 16
could_see: Topic: 10, Keyword number: 17
porn: Topic: 15, Keyword number: 0
roberts: Topic: 15, Keyword number: 1
cannot_imagine: Topic: 15, Keyword number: 2
bachmann_terrifically: Topic: 15, Keyword number: 3
direction_cynthia: Topic: 15, Keyword number: 4
galore_film: Topic: 15, Keyword number: 5
overall_bubbles: Topic: 15, Keyword number: 6
erotic_dancer: Topic: 15, Keyword number: 7
godfrey_tracy: Topic: 15, Keyword number: 8
actress_annie: Topic: 15, Keyword number: 9
actresses_shame: Topic: 15, Keyword number: 10
presence_puts: Topic: 15, Keyword number: 11
command_role: Topic: 15, Keyword number: 12
debut_appearing: Topic: 15, Keyword number: 13
watchful: Topic: 15, Keyword number: 14
mogul_wishes: Topic: 15, Keyword number: 15
femme-butch-femme_triangle: Topic: 15, Keyword number: 16
boss_femme-butch-femme: Topic: 15, Keyword number: 17
vivian_klitorsky: Topic: 15, Keyword number: 18
dory: Topic: 15, Keyword number: 19
bubbles_romantic: Topic: 15, Keyword number: 20
porn-actress-turned-porn-producer_faces: Topic: 15, Keyword number: 21
generally_freaked: Topic: 15, Keyword number: 22
able_share: Topic: 15, Keyword number: 23
strangest_bizarre: Topic: 15, Keyword number: 24
argued: Topic: 17, Keyword number: 0
