egypt: Topic: 0, Keyword number: 0
egyptians: Topic: 0, Keyword number: 1
tradition_continues: Topic: 0, Keyword number: 2
rising: Topic: 0, Keyword number: 3
encourage_terrorism: Topic: 0, Keyword number: 4
cities_like: Topic: 0, Keyword number: 5
attacking_every: Topic: 0, Keyword number: 6
even_clearly: Topic: 0, Keyword number: 7
summer_usually: Topic: 0, Keyword number: 8
costumes_always: Topic: 0, Keyword number: 9
treasures_left: Topic: 0, Keyword number: 10
cinematography_amazing: Topic: 0, Keyword number: 11
certainly_could: Topic: 0, Keyword number: 12
mixed_mixing: Topic: 0, Keyword number: 13
personal_attention: Topic: 0, Keyword number: 14
films_blast: Topic: 0, Keyword number: 15
role_comedic: Topic: 0, Keyword number: 16
sort_role: Topic: 0, Keyword number: 17
liked_sort: Topic: 0, Keyword number: 18
play_action: Topic: 0, Keyword number: 19
past_brendan: Topic: 0, Keyword number: 20
country_past: Topic: 0, Keyword number: 21
crawling_human's: Topic: 0, Keyword number: 22
swarms_beetles: Topic: 0, Keyword number: 23
different_world: Topic: 0, Keyword number: 24
summer_movies: Topic: 1, Keyword number: 0
twice: Topic: 1, Keyword number: 1
jump: Topic: 1, Keyword number: 2
enjoy_movie: Topic: 1, Keyword number: 3
going: Topic: 1, Keyword number: 4
looks: Topic: 1, Keyword number: 5
miles_give: Topic: 1, Keyword number: 6
truck_several: Topic: 1, Keyword number: 7
later_cannot: Topic: 1, Keyword number: 8
right_open: Topic: 1, Keyword number: 9
marvelous_camera: Topic: 1, Keyword number: 10
side_course: Topic: 1, Keyword number: 11
three_minutes: Topic: 1, Keyword number: 12
excitement_great: Topic: 1, Keyword number: 13
others_know: Topic: 1, Keyword number: 14
movie's_opening: Topic: 1, Keyword number: 15
event_horizon: Topic: 1, Keyword number: 16
thing_happens: Topic: 1, Keyword number: 17
happens: Topic: 1, Keyword number: 18
blue: Topic: 1, Keyword number: 19
fill: Topic: 1, Keyword number: 20
walk: Topic: 1, Keyword number: 21
something: Topic: 1, Keyword number: 22
every: Topic: 1, Keyword number: 23
absurd_funniest--and: Topic: 1, Keyword number: 24
office_process: Topic: 2, Keyword number: 0
alex: Topic: 3, Keyword number: 0
plane: Topic: 3, Keyword number: 1
signal: Topic: 3, Keyword number: 2
drumlin: Topic: 3, Keyword number: 3
todd: Topic: 3, Keyword number: 4
hobbes: Topic: 3, Keyword number: 5
crash: Topic: 3, Keyword number: 6
unusual: Topic: 3, Keyword number: 7
alex's: Topic: 3, Keyword number: 8
henson: Topic: 3, Keyword number: 9
grim: Topic: 3, Keyword number: 10
circumstances: Topic: 3, Keyword number: 11
jennifer: Topic: 3, Keyword number: 12
leaves: Topic: 3, Keyword number: 13
reese: Topic: 3, Keyword number: 14
death_scenes: Topic: 3, Keyword number: 15
grim_reaper: Topic: 3, Keyword number: 16
explode: Topic: 3, Keyword number: 17
denver: Topic: 3, Keyword number: 18
arroway: Topic: 3, Keyword number: 19
fairy_tale: Topic: 3, Keyword number: 20
jeff: Topic: 3, Keyword number: 21
losing: Topic: 3, Keyword number: 22
student: Topic: 3, Keyword number: 23
helped: Topic: 3, Keyword number: 24
daisy: Topic: 4, Keyword number: 0
driving_miss: Topic: 4, Keyword number: 1
beresford: Topic: 4, Keyword number: 2
boolie: Topic: 4, Keyword number: 3
insurance: Topic: 4, Keyword number: 4
important_say: Topic: 4, Keyword number: 5
characters_say: Topic: 4, Keyword number: 6
achieved_delicate: Topic: 4, Keyword number: 7
striking_cinematic: Topic: 4, Keyword number: 8
offers_plenty: Topic: 4, Keyword number: 9
stagey_fortunately: Topic: 4, Keyword number: 10
daisy_seems: Topic: 4, Keyword number: 11
mercies_driving: Topic: 4, Keyword number: 12
crimes_heart: Topic: 4, Keyword number: 13
direction_bruce: Topic: 4, Keyword number: 14
pretentious_wife: Topic: 4, Keyword number: 15
marvelously_played: Topic: 4, Keyword number: 16
idella_marvelously: Topic: 4, Keyword number: 17
idella: Topic: 4, Keyword number: 18
outdoors_stepmother: Topic: 4, Keyword number: 19
consider_wretched: Topic: 4, Keyword number: 20
actor_especially: Topic: 4, Keyword number: 21
seems_agree: Topic: 4, Keyword number: 22
drama_seems: Topic: 4, Keyword number: 23
son_drama: Topic: 4, Keyword number: 24
grandpa: Topic: 5, Keyword number: 0
bring_box: Topic: 5, Keyword number: 1
commercial_tie: Topic: 5, Keyword number: 2
find_formula: Topic: 5, Keyword number: 3
race_life: Topic: 5, Keyword number: 4
corporeal_punishment: Topic: 5, Keyword number: 5
people_face: Topic: 5, Keyword number: 6
dress_pray: Topic: 5, Keyword number: 7
kids_indoctrinated: Topic: 5, Keyword number: 8
tree_attend: Topic: 5, Keyword number: 9
away_grandpa: Topic: 5, Keyword number: 10
magical_appreciation: Topic: 5, Keyword number: 11
almost_magical: Topic: 5, Keyword number: 12
tantoo: Topic: 5, Keyword number: 13
great_depression: Topic: 5, Keyword number: 14
grandparents_setting: Topic: 5, Keyword number: 15
narrator_focus: Topic: 5, Keyword number: 16
spends_grandpa: Topic: 5, Keyword number: 17
portrayal_idyllic: Topic: 5, Keyword number: 18
lore_synopsis: Topic: 5, Keyword number: 19
like_normal: Topic: 5, Keyword number: 20
verhoeven_director: Topic: 5, Keyword number: 21
given_friend: Topic: 5, Keyword number: 22
cover_mission: Topic: 5, Keyword number: 23
begins_total: Topic: 5, Keyword number: 24
mills: Topic: 6, Keyword number: 0
doe: Topic: 6, Keyword number: 1
brad_pitt: Topic: 6, Keyword number: 2
catch: Topic: 6, Keyword number: 3
detective: Topic: 6, Keyword number: 4
mills_sommerset: Topic: 6, Keyword number: 5
detective_william: Topic: 6, Keyword number: 6
david_mills: Topic: 6, Keyword number: 7
horrors: Topic: 6, Keyword number: 8
morgan: Topic: 6, Keyword number: 9
deadly: Topic: 6, Keyword number: 10
steps_away: Topic: 6, Keyword number: 11
given_world: Topic: 6, Keyword number: 12
really_seven: Topic: 6, Keyword number: 13
john_doe: Topic: 6, Keyword number: 14
eat_death: Topic: 6, Keyword number: 15
catch_killer: Topic: 6, Keyword number: 16
morgan_freeman: Topic: 6, Keyword number: 17
david: Topic: 6, Keyword number: 18
actor_oscar--pitt: Topic: 6, Keyword number: 19
also_competed: Topic: 6, Keyword number: 20
cure_raises: Topic: 6, Keyword number: 21
thing--the_evils: Topic: 6, Keyword number: 22
thrust_film: Topic: 6, Keyword number: 23
editing_quite: Topic: 6, Keyword number: 24
red_october: Topic: 7, Keyword number: 0
hunt_red: Topic: 7, Keyword number: 1
ramius: Topic: 7, Keyword number: 2
connery: Topic: 7, Keyword number: 3
sean_connery: Topic: 7, Keyword number: 4
essentially_hunt: Topic: 7, Keyword number: 5
suspenseful_essentially: Topic: 7, Keyword number: 6
action_finale: Topic: 7, Keyword number: 7
right_moment: Topic: 7, Keyword number: 8
october_story: Topic: 7, Keyword number: 9
ferguson_donald: Topic: 7, Keyword number: 10
ferguson: Topic: 7, Keyword number: 11
screenwriters_larry: Topic: 7, Keyword number: 12
effects_remarkable: Topic: 7, Keyword number: 13
richard_jordan: Topic: 7, Keyword number: 14
plus_richard: Topic: 7, Keyword number: 15
large_cast: Topic: 7, Keyword number: 16
reilly_ace: Topic: 7, Keyword number: 17
roles_british: Topic: 7, Keyword number: 18
known_roles: Topic: 7, Keyword number: 19
connery_playing: Topic: 7, Keyword number: 20
see_neil: Topic: 7, Keyword number: 21
sturdy_performance: Topic: 7, Keyword number: 22
neil_gives: Topic: 7, Keyword number: 23
customary_vigor: Topic: 7, Keyword number: 24
stammers: Topic: 8, Keyword number: 0
heche_asks: Topic: 8, Keyword number: 1
opposites_attract: Topic: 8, Keyword number: 2
nights_heterosexual: Topic: 8, Keyword number: 3
reitman_keeps: Topic: 8, Keyword number: 4
inconvenience: Topic: 8, Keyword number: 5
castaways_flaw: Topic: 8, Keyword number: 6
becomes_contrived: Topic: 8, Keyword number: 7
back_civilization: Topic: 8, Keyword number: 8
fianc_frank: Topic: 8, Keyword number: 9
that's_hard: Topic: 8, Keyword number: 10
concentrated_dramatic: Topic: 8, Keyword number: 11
misadventures: Topic: 8, Keyword number: 12
thru_word: Topic: 8, Keyword number: 13
quite: Topic: 8, Keyword number: 14
