fully-ripened_comic: Topic: 2, Keyword number: 0
it's: Topic: 3, Keyword number: 0
movie: Topic: 3, Keyword number: 1
new: Topic: 3, Keyword number: 2
character: Topic: 3, Keyword number: 3
also: Topic: 3, Keyword number: 4
fact: Topic: 3, Keyword number: 5
beloved: Topic: 3, Keyword number: 6
sam: Topic: 3, Keyword number: 7
ones: Topic: 3, Keyword number: 8
new_york: Topic: 3, Keyword number: 9
york: Topic: 3, Keyword number: 10
george: Topic: 3, Keyword number: 11
enough: Topic: 3, Keyword number: 12
member: Topic: 3, Keyword number: 13
movies: Topic: 3, Keyword number: 14
named: Topic: 3, Keyword number: 15
uses: Topic: 3, Keyword number: 16
control: Topic: 3, Keyword number: 17
way: Topic: 3, Keyword number: 18
brosnan: Topic: 3, Keyword number: 19
combat: Topic: 3, Keyword number: 20
pierce: Topic: 3, Keyword number: 21
movie_good: Topic: 3, Keyword number: 22
tough: Topic: 3, Keyword number: 23
open: Topic: 3, Keyword number: 24
survival_people: Topic: 4, Keyword number: 0
cinemas: Topic: 4, Keyword number: 1
girl_went: Topic: 4, Keyword number: 2
problem_though: Topic: 4, Keyword number: 3
stab_pardon: Topic: 4, Keyword number: 4
horny: Topic: 4, Keyword number: 5
fervid: Topic: 7, Keyword number: 0
opera_techno: Topic: 7, Keyword number: 1
strange_musical: Topic: 7, Keyword number: 2
speed_first: Topic: 7, Keyword number: 3
populate_world: Topic: 7, Keyword number: 4
exciting_however: Topic: 7, Keyword number: 5
professional_priest: Topic: 7, Keyword number: 6
water--united_fifth: Topic: 7, Keyword number: 7
boogie_nights: Topic: 8, Keyword number: 0
dirk: Topic: 8, Keyword number: 1
reed: Topic: 8, Keyword number: 2
filmmaking: Topic: 8, Keyword number: 3
stereo: Topic: 8, Keyword number: 4
jack_horner: Topic: 8, Keyword number: 5
driver's_seat: Topic: 8, Keyword number: 6
scene_dirk: Topic: 8, Keyword number: 7
risque: Topic: 8, Keyword number: 8
direction_anderson: Topic: 8, Keyword number: 9
rothchild: Topic: 8, Keyword number: 10
starlet: Topic: 8, Keyword number: 11
demo: Topic: 8, Keyword number: 12
hard_eight: Topic: 8, Keyword number: 13
glimpses: Topic: 8, Keyword number: 14
seat: Topic: 8, Keyword number: 15
genuine: Topic: 8, Keyword number: 16
storyline: Topic: 8, Keyword number: 17
wanting_avoid: Topic: 8, Keyword number: 18
states_struggled: Topic: 8, Keyword number: 19
exciting_bias: Topic: 8, Keyword number: 20
exceptionally_well-crafted: Topic: 8, Keyword number: 21
virtuoso_direction: Topic: 8, Keyword number: 22
due_virtuoso: Topic: 8, Keyword number: 23
payoffs: Topic: 8, Keyword number: 24
anymore_instead: Topic: 11, Keyword number: 0
minutes_long: Topic: 11, Keyword number: 1
last_band: Topic: 11, Keyword number: 2
watching_jimi: Topic: 11, Keyword number: 3
performer: Topic: 11, Keyword number: 4
two-way_street: Topic: 11, Keyword number: 5
replies: Topic: 11, Keyword number: 6
surprisingly_chooses: Topic: 11, Keyword number: 7
fanny's: Topic: 12, Keyword number: 0
ashau: Topic: 12, Keyword number: 1
horror_spielberg's: Topic: 12, Keyword number: 2
cheered_seaman: Topic: 12, Keyword number: 3
disbelieving_actor: Topic: 12, Keyword number: 4
flatly_disbelieving: Topic: 12, Keyword number: 5
solid_absolutely: Topic: 12, Keyword number: 6
white_become: Topic: 12, Keyword number: 7
black_soldier: Topic: 12, Keyword number: 8
veteran_newbie: Topic: 12, Keyword number: 9
mud_smoke: Topic: 12, Keyword number: 10
brain_dared: Topic: 12, Keyword number: 11
final_assault: Topic: 12, Keyword number: 12
watch_scene: Topic: 12, Keyword number: 13
debacle_refused: Topic: 12, Keyword number: 14
why---unless: Topic: 12, Keyword number: 15
militaristic: Topic: 12, Keyword number: 16
could_lost: Topic: 12, Keyword number: 17
pro-soldier_john: Topic: 12, Keyword number: 18
mud: Topic: 12, Keyword number: 19
violence_usual: Topic: 12, Keyword number: 20
set_late: Topic: 12, Keyword number: 21
acknowledged: Topic: 12, Keyword number: 22
matthew_kjv: Topic: 12, Keyword number: 23
function_one: Topic: 12, Keyword number: 24
sadly_won't: Topic: 13, Keyword number: 0
theater_owned: Topic: 13, Keyword number: 1
matters_actually: Topic: 13, Keyword number: 2
deservedly_r-rated: Topic: 13, Keyword number: 3
enough_dodge: Topic: 13, Keyword number: 4
jolt-inducers_really: Topic: 13, Keyword number: 5
qualifies_cinematic: Topic: 13, Keyword number: 6
star_neil: Topic: 13, Keyword number: 7
catastrophic_theme: Topic: 13, Keyword number: 8
buy_star: Topic: 13, Keyword number: 9
share_touching: Topic: 13, Keyword number: 10
generally_concerned: Topic: 13, Keyword number: 11
rather_formulaic: Topic: 13, Keyword number: 12
suspense_peacemaker: Topic: 13, Keyword number: 13
weekly_disaster: Topic: 13, Keyword number: 14
every_home: Topic: 13, Keyword number: 15
nbc's: Topic: 13, Keyword number: 16
maximilian: Topic: 13, Keyword number: 17
personal_problems: Topic: 13, Keyword number: 18
year_coming: Topic: 13, Keyword number: 19
would_easy: Topic: 13, Keyword number: 20
could_better: Topic: 13, Keyword number: 21
daylight: Topic: 13, Keyword number: 22
get: Topic: 14, Keyword number: 0
giant: Topic: 14, Keyword number: 1
story: Topic: 14, Keyword number: 2
also: Topic: 14, Keyword number: 3
away: Topic: 14, Keyword number: 4
scene: Topic: 14, Keyword number: 5
character: Topic: 14, Keyword number: 6
army: Topic: 14, Keyword number: 7
next: Topic: 14, Keyword number: 8
family: Topic: 14, Keyword number: 9
mulan: Topic: 14, Keyword number: 10
serious: Topic: 14, Keyword number: 11
hogarth: Topic: 14, Keyword number: 12
many: Topic: 14, Keyword number: 13
wonderful: Topic: 14, Keyword number: 14
white: Topic: 14, Keyword number: 15
two: Topic: 14, Keyword number: 16
kids: Topic: 14, Keyword number: 17
films: Topic: 14, Keyword number: 18
wants: Topic: 14, Keyword number: 19
gold: Topic: 14, Keyword number: 20
roles: Topic: 14, Keyword number: 21
think: Topic: 14, Keyword number: 22
taels: Topic: 14, Keyword number: 23
constantly: Topic: 14, Keyword number: 24
shanta: Topic: 15, Keyword number: 0
india: Topic: 15, Keyword number: 1
dramas: Topic: 15, Keyword number: 2
navaz: Topic: 15, Keyword number: 3
group: Topic: 15, Keyword number: 4
closure: Topic: 15, Keyword number: 5
dil_navaz's: Topic: 15, Keyword number: 6
navaz's: Topic: 15, Keyword number: 7
deepa_mehta's: Topic: 15, Keyword number: 8
nuclear: Topic: 15, Keyword number: 9
worried: Topic: 15, Keyword number: 10
men: Topic: 15, Keyword number: 11
sense: Topic: 15, Keyword number: 12
fully_capable: Topic: 15, Keyword number: 13
frame-of-mind: Topic: 15, Keyword number: 14
morrison_intersection: Topic: 15, Keyword number: 15
full_advantage: Topic: 15, Keyword number: 16
reliving_dreamt: Topic: 15, Keyword number: 17
