film: Topic: 0, Keyword number: 0
world: Topic: 0, Keyword number: 1
michael: Topic: 0, Keyword number: 2
life: Topic: 0, Keyword number: 3
new: Topic: 0, Keyword number: 4
must: Topic: 0, Keyword number: 5
rather: Topic: 0, Keyword number: 6
white: Topic: 0, Keyword number: 7
played: Topic: 0, Keyword number: 8
soldiers: Topic: 0, Keyword number: 9
live: Topic: 0, Keyword number: 10
october: Topic: 0, Keyword number: 11
army: Topic: 0, Keyword number: 12
country: Topic: 0, Keyword number: 13
giant: Topic: 0, Keyword number: 14
real: Topic: 0, Keyword number: 15
strange: Topic: 0, Keyword number: 16
black: Topic: 0, Keyword number: 17
henry: Topic: 0, Keyword number: 18
dead: Topic: 0, Keyword number: 19
instead: Topic: 0, Keyword number: 20
law: Topic: 0, Keyword number: 21
death: Topic: 0, Keyword number: 22
mission: Topic: 0, Keyword number: 23
carry: Topic: 0, Keyword number: 24
film: Topic: 1, Keyword number: 0
one: Topic: 1, Keyword number: 1
still: Topic: 1, Keyword number: 2
could: Topic: 1, Keyword number: 3
words: Topic: 1, Keyword number: 4
ever: Topic: 1, Keyword number: 5
david: Topic: 1, Keyword number: 6
first: Topic: 1, Keyword number: 7
left: Topic: 1, Keyword number: 8
quite: Topic: 1, Keyword number: 9
many: Topic: 1, Keyword number: 10
blood: Topic: 1, Keyword number: 11
someone: Topic: 1, Keyword number: 12
mean: Topic: 1, Keyword number: 13
got: Topic: 1, Keyword number: 14
seem: Topic: 1, Keyword number: 15
make: Topic: 1, Keyword number: 16
made: Topic: 1, Keyword number: 17
slasher: Topic: 1, Keyword number: 18
night: Topic: 1, Keyword number: 19
actor: Topic: 1, Keyword number: 20
flick: Topic: 1, Keyword number: 21
said: Topic: 1, Keyword number: 22
far: Topic: 1, Keyword number: 23
prison: Topic: 1, Keyword number: 24
like: Topic: 2, Keyword number: 0
fiction: Topic: 2, Keyword number: 1
three: Topic: 2, Keyword number: 2
made: Topic: 2, Keyword number: 3
john: Topic: 2, Keyword number: 4
make: Topic: 2, Keyword number: 5
film's: Topic: 2, Keyword number: 6
back: Topic: 2, Keyword number: 7
whose: Topic: 2, Keyword number: 8
production: Topic: 2, Keyword number: 9
could: Topic: 2, Keyword number: 10
america: Topic: 2, Keyword number: 11
less: Topic: 2, Keyword number: 12
probably: Topic: 2, Keyword number: 13
hand: Topic: 2, Keyword number: 14
dvd: Topic: 2, Keyword number: 15
company: Topic: 2, Keyword number: 16
main: Topic: 2, Keyword number: 17
slave: Topic: 2, Keyword number: 18
horror: Topic: 2, Keyword number: 19
you've: Topic: 2, Keyword number: 20
called: Topic: 2, Keyword number: 21
songs: Topic: 2, Keyword number: 22
angry: Topic: 2, Keyword number: 23
hedwig: Topic: 2, Keyword number: 24
number: Topic: 3, Keyword number: 0
topic: Topic: 3, Keyword number: 1
keyword_number: Topic: 3, Keyword number: 2
topic_keyword: Topic: 3, Keyword number: 3
keyword: Topic: 3, Keyword number: 4
alien: Topic: 3, Keyword number: 5
aliens: Topic: 3, Keyword number: 6
ripley: Topic: 3, Keyword number: 7
planet: Topic: 3, Keyword number: 8
one: Topic: 3, Keyword number: 9
cole: Topic: 3, Keyword number: 10
sense: Topic: 3, Keyword number: 11
like: Topic: 3, Keyword number: 12
sixth: Topic: 3, Keyword number: 13
goodman: Topic: 3, Keyword number: 14
weaver: Topic: 3, Keyword number: 15
sixth_sense: Topic: 3, Keyword number: 16
time: Topic: 3, Keyword number: 17
first: Topic: 3, Keyword number: 18
mummy: Topic: 3, Keyword number: 19
john_goodman: Topic: 3, Keyword number: 20
series: Topic: 3, Keyword number: 21
war: Topic: 3, Keyword number: 22
life: Topic: 3, Keyword number: 23
osment: Topic: 3, Keyword number: 24
one: Topic: 4, Keyword number: 0
movie: Topic: 4, Keyword number: 1
story: Topic: 4, Keyword number: 2
seen: Topic: 4, Keyword number: 3
two: Topic: 4, Keyword number: 4
original: Topic: 4, Keyword number: 5
jedi: Topic: 4, Keyword number: 6
aliens: Topic: 4, Keyword number: 7
become: Topic: 4, Keyword number: 8
film: Topic: 4, Keyword number: 9
comes: Topic: 4, Keyword number: 10
sequence: Topic: 4, Keyword number: 11
trilogy: Topic: 4, Keyword number: 12
robocop: Topic: 4, Keyword number: 13
chicken: Topic: 4, Keyword number: 14
george: Topic: 4, Keyword number: 15
luke: Topic: 4, Keyword number: 16
great: Topic: 4, Keyword number: 17
evil: Topic: 4, Keyword number: 18
tim: Topic: 4, Keyword number: 19
humans: Topic: 4, Keyword number: 20
deep: Topic: 4, Keyword number: 21
special: Topic: 4, Keyword number: 22
burton: Topic: 4, Keyword number: 23
world: Topic: 4, Keyword number: 24
jackie: Topic: 5, Keyword number: 0
brown: Topic: 5, Keyword number: 1
tarantino: Topic: 5, Keyword number: 2
jackie_brown: Topic: 5, Keyword number: 3
pulp_fiction: Topic: 5, Keyword number: 4
max: Topic: 5, Keyword number: 5
one: Topic: 5, Keyword number: 6
it's: Topic: 5, Keyword number: 7
travolta: Topic: 5, Keyword number: 8
there's: Topic: 5, Keyword number: 9
making: Topic: 5, Keyword number: 10
john: Topic: 5, Keyword number: 11
jackson: Topic: 5, Keyword number: 12
michael: Topic: 5, Keyword number: 13
doesn't: Topic: 5, Keyword number: 14
money: Topic: 5, Keyword number: 15
ordell: Topic: 5, Keyword number: 16
action: Topic: 5, Keyword number: 17
years: Topic: 5, Keyword number: 18
she's: Topic: 5, Keyword number: 19
kevin: Topic: 5, Keyword number: 20
course: Topic: 5, Keyword number: 21
time: Topic: 5, Keyword number: 22
robert: Topic: 5, Keyword number: 23
help: Topic: 5, Keyword number: 24
movie: Topic: 6, Keyword number: 0
one: Topic: 6, Keyword number: 1
movies: Topic: 6, Keyword number: 2
good: Topic: 6, Keyword number: 3
get: Topic: 6, Keyword number: 4
like: Topic: 6, Keyword number: 5
action: Topic: 6, Keyword number: 6
way: Topic: 6, Keyword number: 7
time: Topic: 6, Keyword number: 8
know: Topic: 6, Keyword number: 9
big: Topic: 6, Keyword number: 10
it's: Topic: 6, Keyword number: 11
doesn't: Topic: 6, Keyword number: 12
don't: Topic: 6, Keyword number: 13
always: Topic: 6, Keyword number: 14
however: Topic: 6, Keyword number: 15
see: Topic: 6, Keyword number: 16
better: Topic: 6, Keyword number: 17
much: Topic: 6, Keyword number: 18
make: Topic: 6, Keyword number: 19
might: Topic: 6, Keyword number: 20
hollywood: Topic: 6, Keyword number: 21
scene: Topic: 6, Keyword number: 22
films: Topic: 6, Keyword number: 23
course: Topic: 6, Keyword number: 24
one: Topic: 7, Keyword number: 0
war: Topic: 7, Keyword number: 1
well: Topic: 7, Keyword number: 2
it's: Topic: 7, Keyword number: 3
much: Topic: 7, Keyword number: 4
work: Topic: 7, Keyword number: 5
films: Topic: 7, Keyword number: 6
character: Topic: 7, Keyword number: 7
new: Topic: 7, Keyword number: 8
world: Topic: 7, Keyword number: 9
like: Topic: 7, Keyword number: 10
least: Topic: 7, Keyword number: 11
human: Topic: 7, Keyword number: 12
violence: Topic: 7, Keyword number: 13
band: Topic: 7, Keyword number: 14
feel: Topic: 7, Keyword number: 15
scene: Topic: 7, Keyword number: 16
audience: Topic: 7, Keyword number: 17
perhaps: Topic: 7, Keyword number: 18
many: Topic: 7, Keyword number: 19
don't: Topic: 7, Keyword number: 20
say: Topic: 7, Keyword number: 21
fun: Topic: 7, Keyword number: 22
killer: Topic: 7, Keyword number: 23
fight: Topic: 7, Keyword number: 24
movie: Topic: 8, Keyword number: 0
film: Topic: 8, Keyword number: 1
one: Topic: 8, Keyword number: 2
even: Topic: 8, Keyword number: 3
see: Topic: 8, Keyword number: 4
really: Topic: 8, Keyword number: 5
like: Topic: 8, Keyword number: 6
films: Topic: 8, Keyword number: 7
know: Topic: 8, Keyword number: 8
doesn't: Topic: 8, Keyword number: 9
well: Topic: 8, Keyword number: 10
little: Topic: 8, Keyword number: 11
way: Topic: 8, Keyword number: 12
people: Topic: 8, Keyword number: 13
good: Topic: 8, Keyword number: 14
great: Topic: 8, Keyword number: 15
best: Topic: 8, Keyword number: 16
bit: Topic: 8, Keyword number: 17
going: Topic: 8, Keyword number: 18
also: Topic: 8, Keyword number: 19
many: Topic: 8, Keyword number: 20
funny: Topic: 8, Keyword number: 21
ever: Topic: 8, Keyword number: 22
don't: Topic: 8, Keyword number: 23
two: Topic: 8, Keyword number: 24
dude: Topic: 9, Keyword number: 0
it's: Topic: 9, Keyword number: 1
also: Topic: 9, Keyword number: 2
bulworth: Topic: 9, Keyword number: 3
lebowski: Topic: 9, Keyword number: 4
happy: Topic: 9, Keyword number: 5
comedy: Topic: 9, Keyword number: 6
make: Topic: 9, Keyword number: 7
makes: Topic: 9, Keyword number: 8
sam: Topic: 9, Keyword number: 9
funny: Topic: 9, Keyword number: 10
big_lebowski: Topic: 9, Keyword number: 11
sandler: Topic: 9, Keyword number: 12
particularly: Topic: 9, Keyword number: 13
singer: Topic: 9, Keyword number: 14
gets: Topic: 9, Keyword number: 15
beatty: Topic: 9, Keyword number: 16
wife: Topic: 9, Keyword number: 17
he's: Topic: 9, Keyword number: 18
wedding_singer: Topic: 9, Keyword number: 19
walter: Topic: 9, Keyword number: 20
that's: Topic: 9, Keyword number: 21
directed: Topic: 9, Keyword number: 22
brothers: Topic: 9, Keyword number: 23
bowling: Topic: 9, Keyword number: 24
film: Topic: 10, Keyword number: 0
it's: Topic: 10, Keyword number: 1
may: Topic: 10, Keyword number: 2
film's: Topic: 10, Keyword number: 3
although: Topic: 10, Keyword number: 4
flynt: Topic: 10, Keyword number: 5
first: Topic: 10, Keyword number: 6
larry: Topic: 10, Keyword number: 7
performance: Topic: 10, Keyword number: 8
could: Topic: 10, Keyword number: 9
story: Topic: 10, Keyword number: 10
films: Topic: 10, Keyword number: 11
new: Topic: 10, Keyword number: 12
one: Topic: 10, Keyword number: 13
two: Topic: 10, Keyword number: 14
perhaps: Topic: 10, Keyword number: 15
murphy: Topic: 10, Keyword number: 16
old: Topic: 10, Keyword number: 17
love: Topic: 10, Keyword number: 18
following: Topic: 10, Keyword number: 19
however: Topic: 10, Keyword number: 20
animation: Topic: 10, Keyword number: 21
since: Topic: 10, Keyword number: 22
though: Topic: 10, Keyword number: 23
interesting: Topic: 10, Keyword number: 24
life: Topic: 11, Keyword number: 0
story: Topic: 11, Keyword number: 1
little: Topic: 11, Keyword number: 2
woody: Topic: 11, Keyword number: 3
one: Topic: 11, Keyword number: 4
it's: Topic: 11, Keyword number: 5
big: Topic: 11, Keyword number: 6
new: Topic: 11, Keyword number: 7
film: Topic: 11, Keyword number: 8
may: Topic: 11, Keyword number: 9
old: Topic: 11, Keyword number: 10
work: Topic: 11, Keyword number: 11
character: Topic: 11, Keyword number: 12
back: Topic: 11, Keyword number: 13
toy: Topic: 11, Keyword number: 14
allen: Topic: 11, Keyword number: 15
time: Topic: 11, Keyword number: 16
world: Topic: 11, Keyword number: 17
