terrorist: Topic: 0, Keyword number: 0
terrorism: Topic: 0, Keyword number: 1
washington: Topic: 0, Keyword number: 2
hub: Topic: 0, Keyword number: 3
arab: Topic: 0, Keyword number: 4
willis: Topic: 0, Keyword number: 5
denzel_washington: Topic: 0, Keyword number: 6
criminal: Topic: 0, Keyword number: 7
international: Topic: 0, Keyword number: 8
edward_zwick's: Topic: 0, Keyword number: 9
zwick's: Topic: 0, Keyword number: 10
martial_law: Topic: 0, Keyword number: 11
liberties: Topic: 0, Keyword number: 12
ramirez: Topic: 0, Keyword number: 13
quinn: Topic: 0, Keyword number: 14
commits: Topic: 0, Keyword number: 15
offer: Topic: 0, Keyword number: 16
annette_bening: Topic: 0, Keyword number: 17
annette: Topic: 0, Keyword number: 18
edward: Topic: 0, Keyword number: 19
arab_immigrants: Topic: 0, Keyword number: 20
lawrence_wright: Topic: 0, Keyword number: 21
general_devereaux: Topic: 0, Keyword number: 22
declaration_martial: Topic: 0, Keyword number: 23
civil_liberties: Topic: 0, Keyword number: 24
niagara: Topic: 1, Keyword number: 0
know: Topic: 1, Keyword number: 1
react: Topic: 1, Keyword number: 2
don't_know: Topic: 1, Keyword number: 3
niagara_niagara: Topic: 1, Keyword number: 4
know_react: Topic: 1, Keyword number: 5
marcy: Topic: 1, Keyword number: 6
friends_neighbors: Topic: 1, Keyword number: 7
tunney's: Topic: 1, Keyword number: 8
tunney: Topic: 1, Keyword number: 9
doll: Topic: 1, Keyword number: 10
maggie_charmed: Topic: 1, Keyword number: 11
desperately: Topic: 1, Keyword number: 12
meeting_november: Topic: 1, Keyword number: 13
november: Topic: 1, Keyword number: 14
thoughts_meeting: Topic: 1, Keyword number: 15
championship_thoughts: Topic: 1, Keyword number: 16
nba_championship: Topic: 1, Keyword number: 17
championship: Topic: 1, Keyword number: 18
first_nba: Topic: 1, Keyword number: 19
nba: Topic: 1, Keyword number: 20
winning_first: Topic: 1, Keyword number: 21
jordan_winning: Topic: 1, Keyword number: 22
michael_jordan: Topic: 1, Keyword number: 23
jordan: Topic: 1, Keyword number: 24
robocop: Topic: 2, Keyword number: 0
raging_bull: Topic: 2, Keyword number: 1
car: Topic: 2, Keyword number: 2
porn: Topic: 2, Keyword number: 3
sex: Topic: 2, Keyword number: 4
satire: Topic: 2, Keyword number: 5
car_crash: Topic: 2, Keyword number: 6
kosteas: Topic: 2, Keyword number: 7
car_crashes: Topic: 2, Keyword number: 8
freaky: Topic: 2, Keyword number: 9
scene_he's: Topic: 2, Keyword number: 10
quick: Topic: 2, Keyword number: 11
spader: Topic: 2, Keyword number: 12
rush: Topic: 2, Keyword number: 13
one_scene: Topic: 2, Keyword number: 14
level: Topic: 2, Keyword number: 15
cop-killers: Topic: 2, Keyword number: 16
cyborg: Topic: 2, Keyword number: 17
american_society: Topic: 2, Keyword number: 18
gets_extra: Topic: 2, Keyword number: 19
another_level: Topic: 2, Keyword number: 20
living_edge: Topic: 2, Keyword number: 21
rosanna_arquette: Topic: 2, Keyword number: 22
rosanna: Topic: 2, Keyword number: 23
elias_kosteas: Topic: 2, Keyword number: 24
long_finds: Topic: 3, Keyword number: 0
life_road: Topic: 3, Keyword number: 1
three_salesmen: Topic: 3, Keyword number: 2
industrial_lubricants: Topic: 3, Keyword number: 3
glen: Topic: 3, Keyword number: 4
lagging_career: Topic: 3, Keyword number: 5
colleen_atwood: Topic: 3, Keyword number: 6
window_swaying: Topic: 3, Keyword number: 7
executive_doesn't: Topic: 3, Keyword number: 8
