simply_refuses: Topic: 0, Keyword number: 0
written_shakespeare: Topic: 0, Keyword number: 1
film_script: Topic: 0, Keyword number: 2
death_sets: Topic: 0, Keyword number: 3
granted_charecter: Topic: 0, Keyword number: 4
time_granted: Topic: 0, Keyword number: 5
reaching_love: Topic: 0, Keyword number: 6
charles_ogle: Topic: 0, Keyword number: 7
epidemic_frankenstein: Topic: 0, Keyword number: 8
classic_novel: Topic: 0, Keyword number: 9
ideological: Topic: 0, Keyword number: 10
steering: Topic: 0, Keyword number: 11
neck: Topic: 0, Keyword number: 12
millennia: Topic: 0, Keyword number: 13
she's_woman: Topic: 0, Keyword number: 14
incognito: Topic: 0, Keyword number: 15
memorable_show-stopping: Topic: 0, Keyword number: 16
highlights_include: Topic: 0, Keyword number: 17
gonna_happen: Topic: 0, Keyword number: 18
pepe: Topic: 0, Keyword number: 19
cheeky_chihuahua: Topic: 0, Keyword number: 20
maybe_animated: Topic: 0, Keyword number: 21
whose_heroines--ariel: Topic: 0, Keyword number: 22
courtesy: Topic: 0, Keyword number: 23
screen_collaboration: Topic: 1, Keyword number: 0
futuristic_sets: Topic: 1, Keyword number: 1
fault_course: Topic: 1, Keyword number: 2
character_enough: Topic: 1, Keyword number: 3
threat_family: Topic: 1, Keyword number: 4
begins_perceive: Topic: 1, Keyword number: 5
woman_sees: Topic: 1, Keyword number: 6
fragile_woman: Topic: 1, Keyword number: 7
law_pleasant: Topic: 1, Keyword number: 8
one_objective: Topic: 1, Keyword number: 9
left_woods: Topic: 1, Keyword number: 10
beaming_love: Topic: 1, Keyword number: 11
role_david: Topic: 1, Keyword number: 12
bigotry_coalesce: Topic: 1, Keyword number: 13
anti-climatic: Topic: 1, Keyword number: 14
kubrick's_influence: Topic: 1, Keyword number: 15
amusement_paying: Topic: 1, Keyword number: 16
gigolo_joe: Topic: 1, Keyword number: 17
believes_able: Topic: 1, Keyword number: 18
fairy_believes: Topic: 1, Keyword number: 19
search_blue: Topic: 1, Keyword number: 20
love_film's: Topic: 1, Keyword number: 21
tale_pinocchio: Topic: 1, Keyword number: 22
son_martin: Topic: 1, Keyword number: 23
recovery_return: Topic: 1, Keyword number: 24
joe: Topic: 4, Keyword number: 0
joe's: Topic: 4, Keyword number: 1
new_york: Topic: 4, Keyword number: 2
york: Topic: 4, Keyword number: 3
midnight_cowboy: Topic: 4, Keyword number: 4
image: Topic: 4, Keyword number: 5
ideals: Topic: 4, Keyword number: 6
blank: Topic: 4, Keyword number: 7
attempt: Topic: 4, Keyword number: 8
window_joe: Topic: 4, Keyword number: 9
ratzo: Topic: 4, Keyword number: 10
dream_schlesinger: Topic: 4, Keyword number: 11
ketchup: Topic: 4, Keyword number: 12
virility: Topic: 4, Keyword number: 13
ideals_joe: Topic: 4, Keyword number: 14
shot_midnight: Topic: 4, Keyword number: 15
encounter: Topic: 4, Keyword number: 16
symbol: Topic: 4, Keyword number: 17
drugs: Topic: 4, Keyword number: 18
illusory_icons: Topic: 4, Keyword number: 19
pursuit_illusory: Topic: 4, Keyword number: 20
illusory: Topic: 4, Keyword number: 21
moral_atrophy: Topic: 4, Keyword number: 22
buck's: Topic: 4, Keyword number: 23
ends_raping: Topic: 4, Keyword number: 24
lumumba: Topic: 5, Keyword number: 0
patrice: Topic: 5, Keyword number: 1
strive: Topic: 5, Keyword number: 2
masters: Topic: 5, Keyword number: 3
mnc: Topic: 5, Keyword number: 4
eriq_ebouaney: Topic: 5, Keyword number: 5
ebouaney: Topic: 5, Keyword number: 6
congo: Topic: 5, Keyword number: 7
black: Topic: 5, Keyword number: 8
caveman's_valentine: Topic: 5, Keyword number: 9
covers_last: Topic: 5, Keyword number: 10
surviving_it's: Topic: 5, Keyword number: 11
i'm_glad: Topic: 5, Keyword number: 12
part_story: Topic: 5, Keyword number: 13
intercut_chronologically: Topic: 5, Keyword number: 14
uncomfortable: Topic: 5, Keyword number: 15
ron_howard's: Topic: 5, Keyword number: 16
seen_hollywood: Topic: 5, Keyword number: 17
intelligence: Topic: 5, Keyword number: 18
buffs: Topic: 5, Keyword number: 19
educational_honest: Topic: 5, Keyword number: 20
lumumba_solid: Topic: 5, Keyword number: 21
efforts_instead: Topic: 5, Keyword number: 22
star_complementing: Topic: 5, Keyword number: 23
cast_outshine: Topic: 5, Keyword number: 24
field: Topic: 6, Keyword number: 0
elgin: Topic: 6, Keyword number: 1
build_come: Topic: 6, Keyword number: 2
hears_voice: Topic: 6, Keyword number: 3
three_hour: Topic: 6, Keyword number: 4
trick: Topic: 6, Keyword number: 5
credible: Topic: 6, Keyword number: 6
succeeded_flair: Topic: 6, Keyword number: 7
significant_succeeded: Topic: 6, Keyword number: 8
neat_trick: Topic: 6, Keyword number: 9
