death: Topic: 2, Keyword number: 0
storm: Topic: 2, Keyword number: 1
see: Topic: 2, Keyword number: 2
implemented: Topic: 2, Keyword number: 3
chasers: Topic: 2, Keyword number: 4
livestock: Topic: 2, Keyword number: 5
hurricanes: Topic: 2, Keyword number: 6
surround: Topic: 2, Keyword number: 7
preceded: Topic: 2, Keyword number: 8
helen_hunt: Topic: 2, Keyword number: 9
figure: Topic: 2, Keyword number: 10
carter: Topic: 2, Keyword number: 11
government_sends: Topic: 2, Keyword number: 12
everyday_objects: Topic: 2, Keyword number: 13
made_premise: Topic: 2, Keyword number: 14
countless_horror: Topic: 2, Keyword number: 15
object_fear: Topic: 2, Keyword number: 16
pace_needed: Topic: 2, Keyword number: 17
point_scene: Topic: 2, Keyword number: 18
deals_i'd: Topic: 2, Keyword number: 19
lovemaker: Topic: 2, Keyword number: 20
consider_somehow: Topic: 2, Keyword number: 21
meet_minimum: Topic: 2, Keyword number: 22
minutes_ultimately: Topic: 2, Keyword number: 23
ending_made: Topic: 2, Keyword number: 24
however_whole: Topic: 4, Keyword number: 0
trailer_must: Topic: 4, Keyword number: 1
grier: Topic: 4, Keyword number: 2
mama: Topic: 6, Keyword number: 0
best: Topic: 6, Keyword number: 1
film_deals: Topic: 6, Keyword number: 2
marion: Topic: 6, Keyword number: 3
center: Topic: 6, Keyword number: 4
giving_seat: Topic: 6, Keyword number: 5
holds_contempt: Topic: 6, Keyword number: 6
plane_going: Topic: 6, Keyword number: 7
time_september: Topic: 6, Keyword number: 8
overly-dark_twisted: Topic: 6, Keyword number: 9
family_soul: Topic: 6, Keyword number: 10
ups_soul: Topic: 6, Keyword number: 11
several_close: Topic: 6, Keyword number: 12
wise_enough: Topic: 6, Keyword number: 13
ahmad's: Topic: 6, Keyword number: 14
house_third: Topic: 6, Keyword number: 15
sell_mama: Topic: 6, Keyword number: 16
best_convict: Topic: 6, Keyword number: 17
frustrates: Topic: 6, Keyword number: 18
noone_keep: Topic: 6, Keyword number: 19
guidance_noone: Topic: 6, Keyword number: 20
even_cancelled: Topic: 6, Keyword number: 21
