turns_finale: Topic: 1, Keyword number: 0
non: Topic: 1, Keyword number: 1
title_role: Topic: 5, Keyword number: 0
lumumba_uses: Topic: 5, Keyword number: 1
clashes_independence: Topic: 5, Keyword number: 2
playing: Topic: 5, Keyword number: 3
witch_cute: Topic: 6, Keyword number: 0
many_hammer: Topic: 6, Keyword number: 1
scare: Topic: 6, Keyword number: 2
turns_surprise: Topic: 7, Keyword number: 0
blame_technical: Topic: 7, Keyword number: 1
film's_hook: Topic: 7, Keyword number: 2
furtwangler: Topic: 11, Keyword number: 0
investigation: Topic: 11, Keyword number: 1
germany: Topic: 11, Keyword number: 2
classical_music: Topic: 11, Keyword number: 3
szabo's: Topic: 11, Keyword number: 4
conductor_stayed: Topic: 11, Keyword number: 5
wilhelm: Topic: 11, Keyword number: 6
stayed: Topic: 11, Keyword number: 7
classical: Topic: 11, Keyword number: 8
obvious: Topic: 11, Keyword number: 9
date_could: Topic: 11, Keyword number: 10
events_take: Topic: 11, Keyword number: 11
could_occur: Topic: 11, Keyword number: 12
jan_tues: Topic: 11, Keyword number: 13
desk_calendar: Topic: 11, Keyword number: 14
calendar: Topic: 11, Keyword number: 15
see_arnold's: Topic: 11, Keyword number: 16
scale_one: Topic: 11, Keyword number: 17
intriguing_rate: Topic: 11, Keyword number: 18
dialog_intriguing: Topic: 11, Keyword number: 19
location_stage: Topic: 11, Keyword number: 20
photographs_avoid: Topic: 11, Keyword number: 21
windows_photographs: Topic: 11, Keyword number: 22
play_visual: Topic: 11, Keyword number: 23
basically_stage: Topic: 11, Keyword number: 24
pie: Topic: 12, Keyword number: 0
prom: Topic: 12, Keyword number: 1
possible_familiarity: Topic: 12, Keyword number: 2
socially_responsible: Topic: 12, Keyword number: 3
filmmakers_prove: Topic: 12, Keyword number: 4
forget_picture: Topic: 12, Keyword number: 5
prom_band: Topic: 12, Keyword number: 6
times_evidently: Topic: 12, Keyword number: 7
hughes_movies: Topic: 12, Keyword number: 8
watch_growing: Topic: 12, Keyword number: 9
would_let: Topic: 12, Keyword number: 10
performance_indeed: Topic: 12, Keyword number: 11
honest_face: Topic: 12, Keyword number: 12
see_warm: Topic: 12, Keyword number: 13
sctv: Topic: 12, Keyword number: 14
standouts_klein: Topic: 12, Keyword number: 15
guys_two: Topic: 12, Keyword number: 16
appealing_say: Topic: 12, Keyword number: 17
fluids: Topic: 12, Keyword number: 18
obsession_bodily: Topic: 12, Keyword number: 19
jim's: Topic: 12, Keyword number: 20
adolescent_boys: Topic: 12, Keyword number: 21
adolescent: Topic: 12, Keyword number: 22
amuse_core: Topic: 12, Keyword number: 23
arouse_and/or: Topic: 12, Keyword number: 24
valuable_addition: Topic: 13, Keyword number: 0
ernst: Topic: 13, Keyword number: 1
sideshow_horror-lab: Topic: 13, Keyword number: 2
work_controversial: Topic: 13, Keyword number: 3
documentary_film: Topic: 13, Keyword number: 4
designer: Topic: 13, Keyword number: 5
theory: Topic: 13, Keyword number: 6
cliches_bog: Topic: 14, Keyword number: 0
turn_thankfully: Topic: 14, Keyword number: 1
may_esoteric: Topic: 14, Keyword number: 2
goal_movie: Topic: 14, Keyword number: 3
lawns_seemingly: Topic: 14, Keyword number: 4
played_comedy: Topic: 14, Keyword number: 5
llewelyn_bond's: Topic: 14, Keyword number: 6
bond_love: Topic: 14, Keyword number: 7
marceau's_character: Topic: 14, Keyword number: 8
beyond_words: Topic: 14, Keyword number: 9
victims_along: Topic: 14, Keyword number: 10
terrorists_money: Topic: 14, Keyword number: 11
pipeline_guess: Topic: 14, Keyword number: 12
explain_condition: Topic: 14, Keyword number: 13
carlyle_man: Topic: 14, Keyword number: 14
thought_things: Topic: 14, Keyword number: 15
probably_one-liners: Topic: 14, Keyword number: 16
nobody_told: Topic: 14, Keyword number: 17
took_great: Topic: 14, Keyword number: 18
something_new: Topic: 14, Keyword number: 19
bit_one: Topic: 14, Keyword number: 20
even_film: Topic: 14, Keyword number: 21
plagued: Topic: 14, Keyword number: 22
sole: Topic: 14, Keyword number: 23
good_ever: Topic: 14, Keyword number: 24
camera_work: Topic: 17, Keyword number: 0
time_crooks: Topic: 19, Keyword number: 0
dying_whenever: Topic: 19, Keyword number: 1
dude_actually: Topic: 19, Keyword number: 2
isn't_typical: Topic: 19, Keyword number: 3
wasn't_long: Topic: 19, Keyword number: 4
mediocre_outing: Topic: 19, Keyword number: 5
exchanged_everyone: Topic: 19, Keyword number: 6
genius_others: Topic: 19, Keyword number: 7
wedding_unfolds: Topic: 19, Keyword number: 8
respected_admired: Topic: 19, Keyword number: 9
dinky: Topic: 19, Keyword number: 10
withdrawn: Topic: 19, Keyword number: 11
young_woman: Topic: 19, Keyword number: 12
well_especially: Topic: 19, Keyword number: 13
opens: Topic: 19, Keyword number: 14
dinosaurs: Topic: 22, Keyword number: 0
jurassic: Topic: 22, Keyword number: 1
jurassic_park: Topic: 22, Keyword number: 2
park: Topic: 22, Keyword number: 3
lost_world: Topic: 22, Keyword number: 4
grant: Topic: 22, Keyword number: 5
neither_film: Topic: 22, Keyword number: 6
dinosaur: Topic: 22, Keyword number: 7
expecting: Topic: 22, Keyword number: 8
seeing: Topic: 22, Keyword number: 9
obscures: Topic: 22, Keyword number: 10
sattler: Topic: 22, Keyword number: 11
island_safe: Topic: 22, Keyword number: 12
isla_sorna: Topic: 22, Keyword number: 13
isla: Topic: 22, Keyword number: 14
little_complex: Topic: 22, Keyword number: 15
johnston_directs: Topic: 22, Keyword number: 16
joe_johnston: Topic: 22, Keyword number: 17
jim: Topic: 22, Keyword number: 18
money: Topic: 22, Keyword number: 19
alan: Topic: 22, Keyword number: 20
scene_truman's: Topic: 22, Keyword number: 21
unnecessarily_long: Topic: 22, Keyword number: 22
permeates_truman's: Topic: 22, Keyword number: 23
terms_movie: Topic: 22, Keyword number: 24
private_ryan: Topic: 24, Keyword number: 0
leonard: Topic: 24, Keyword number: 1
stimulating_it's: Topic: 24, Keyword number: 2
droll_stimulating: Topic: 24, Keyword number: 3
trouble_emotional: Topic: 24, Keyword number: 4
pairing_favored: Topic: 24, Keyword number: 5
out--last_wednesday: Topic: 24, Keyword number: 6
eigeman: Topic: 24, Keyword number: 7
inexpensive_movie: Topic: 24, Keyword number: 8
prestigious_new: Topic: 24, Keyword number: 9
hours_highlight: Topic: 24, Keyword number: 10
disco's: Topic: 24, Keyword number: 11
fashionable_least: Topic: 24, Keyword number: 12
mackenzie: Topic: 24, Keyword number: 13
director_three: Topic: 24, Keyword number: 14
brilliance_lie: Topic: 24, Keyword number: 15
starts_john: Topic: 24, Keyword number: 16
vehicle_choice: Topic: 24, Keyword number: 17
hum-vee_vehicle: Topic: 24, Keyword number: 18
kings_believe: Topic: 24, Keyword number: 19
virginity_film: Topic: 24, Keyword number: 20
awol: Topic: 24, Keyword number: 21
end_picture: Topic: 24, Keyword number: 22
actually_something: Topic: 24, Keyword number: 23
tom's_posession: Topic: 24, Keyword number: 24
power: Topic: 25, Keyword number: 0
head_human: Topic: 25, Keyword number: 1
pointing_head: Topic: 25, Keyword number: 2
brains_failed: Topic: 25, Keyword number: 3
hostile_indifferent: Topic: 25, Keyword number: 4
place_individual: Topic: 25, Keyword number: 5
kant: Topic: 25, Keyword number: 6
therefore_sanctioned: Topic: 25, Keyword number: 7
people_took: Topic: 25, Keyword number: 8
human_far: Topic: 25, Keyword number: 9
books_reaches: Topic: 25, Keyword number: 10
turns_city: Topic: 25, Keyword number: 11
using_telepathic: Topic: 25, Keyword number: 12
nearby_shell: Topic: 25, Keyword number: 13
searches_wallet: Topic: 25, Keyword number: 14
hurt_john: Topic: 25, Keyword number: 15
mysterious_phone: Topic: 25, Keyword number: 16
earth_instead: Topic: 25, Keyword number: 17
man_amnesia: Topic: 25, Keyword number: 18
ingredients_man: Topic: 25, Keyword number: 19
showdown_good: Topic: 25, Keyword number: 20
surreal_almost: Topic: 25, Keyword number: 21
souls_fanatical: Topic: 25, Keyword number: 22
social_changes: Topic: 25, Keyword number: 23
generations_superseventies: Topic: 25, Keyword number: 24
porno: Topic: 27, Keyword number: 0
hardcore: Topic: 27, Keyword number: 1
anyway_despite: Topic: 27, Keyword number: 2
age_industry: Topic: 27, Keyword number: 3
viewer_especially: Topic: 27, Keyword number: 4
used_taxi: Topic: 27, Keyword number: 5
detective_develops: Topic: 27, Keyword number: 6
sleazy_detective: Topic: 27, Keyword number: 7
dorn's: Topic: 27, Keyword number: 8
prodigal_daughter: Topic: 27, Keyword number: 9
lead_unflattering: Topic: 27, Keyword number: 10
simply_must: Topic: 27, Keyword number: 11
kristen's_fate: Topic: 27, Keyword number: 12
parent's_worst: Topic: 27, Keyword number: 13
audience_forced: Topic: 27, Keyword number: 14
simply_line: Topic: 27, Keyword number: 15
described_authoritarian: Topic: 27, Keyword number: 16
brilliant_scene: Topic: 27, Keyword number: 17
example_brilliant: Topic: 27, Keyword number: 18
nice_example: Topic: 27, Keyword number: 19
sixties_degraded: Topic: 27, Keyword number: 20
revolution_revolutions: Topic: 27, Keyword number: 21
better_ideals: Topic: 27, Keyword number: 22
cocoons: Topic: 27, Keyword number: 23
sticks_puritan: Topic: 27, Keyword number: 24
well: Topic: 29, Keyword number: 0
annie: Topic: 29, Keyword number: 1
family: Topic: 29, Keyword number: 2
hell: Topic: 29, Keyword number: 3
seems: Topic: 29, Keyword number: 4
lenders: Topic: 29, Keyword number: 5
potter: Topic: 29, Keyword number: 6
ways: Topic: 29, Keyword number: 7
various: Topic: 29, Keyword number: 8
especially: Topic: 29, Keyword number: 9
entertaining: Topic: 29, Keyword number: 10
clan: Topic: 29, Keyword number: 11
always: Topic: 29, Keyword number: 12
inch_tall: Topic: 29, Keyword number: 13
slowly_begins: Topic: 29, Keyword number: 14
inch: Topic: 29, Keyword number: 15
guy_pearce: Topic: 29, Keyword number: 16
longtime: Topic: 29, Keyword number: 17
terrible: Topic: 29, Keyword number: 18
movie_well: Topic: 29, Keyword number: 19
fantasies: Topic: 29, Keyword number: 20
fabric: Topic: 29, Keyword number: 21
christian: Topic: 29, Keyword number: 22
thrilling: Topic: 29, Keyword number: 23
over-the-top_performance: Topic: 29, Keyword number: 24
beau: Topic: 30, Keyword number: 0
reese: Topic: 30, Keyword number: 1
margaret: Topic: 30, Keyword number: 2
reno: Topic: 30, Keyword number: 3
complex_story: Topic: 30, Keyword number: 4
end_complex: Topic: 30, Keyword number: 5
city_reno: Topic: 30, Keyword number: 6
calm_well: Topic: 30, Keyword number: 7
contrasting_calm: Topic: 30, Keyword number: 8
tandon_provide: Topic: 30, Keyword number: 9
design_kelly: Topic: 30, Keyword number: 10
fire_cinematography: Topic: 30, Keyword number: 11
revealed_young: Topic: 30, Keyword number: 12
early_shot: Topic: 30, Keyword number: 13
constant_early: Topic: 30, Keyword number: 14
amidst_myriad: Topic: 30, Keyword number: 15
strokes_amidst: Topic: 30, Keyword number: 16
builds_perfectly: Topic: 30, Keyword number: 17
firm_grip: Topic: 30, Keyword number: 18
strongly_directors: Topic: 30, Keyword number: 19
never_completely: Topic: 30, Keyword number: 20
lip_two: Topic: 30, Keyword number: 21
split_lip: Topic: 30, Keyword number: 22
lip: Topic: 30, Keyword number: 23
black_eye: Topic: 30, Keyword number: 24
romantic: Topic: 31, Keyword number: 0
repetitive_stretches: Topic: 31, Keyword number: 1
shall_also: Topic: 31, Keyword number: 2
wonderland_never: Topic: 31, Keyword number: 3
let's_pretend: Topic: 31, Keyword number: 4
deed_ultimate: Topic: 31, Keyword number: 5
accidents_eventually: Topic: 31, Keyword number: 6
expressions_bemused: Topic: 31, Keyword number: 7
device_throughout: Topic: 31, Keyword number: 8
employs_stylistic: Topic: 31, Keyword number: 9
hyperactive_schtick: Topic: 31, Keyword number: 10
williams_hyperactive: Topic: 31, Keyword number: 11
purely_subjective: Topic: 31, Keyword number: 12
damned_voice: Topic: 31, Keyword number: 13
equal_substantial: Topic: 31, Keyword number: 14
smile_necessarily: Topic: 31, Keyword number: 15
adoring_fans: Topic: 31, Keyword number: 16
yawk: Topic: 31, Keyword number: 17
accidents_brassy: Topic: 31, Keyword number: 18
tomei_always: Topic: 31, Keyword number: 19
despite_winning: Topic: 31, Keyword number: 20
game_cautious: Topic: 31, Keyword number: 21
identity_pathological: Topic: 31, Keyword number: 22
starts_explaining: Topic: 31, Keyword number: 23
ruby_thinks: Topic: 31, Keyword number: 24
lips_madam: Topic: 34, Keyword number: 0
flow_next: Topic: 34, Keyword number: 1
direction_cinematography: Topic: 34, Keyword number: 2
filmed_black: Topic: 34, Keyword number: 3
makes_marvel: Topic: 34, Keyword number: 4
fears_version: Topic: 34, Keyword number: 5
flow: Topic: 34, Keyword number: 6
cerebral: Topic: 34, Keyword number: 7
mood: Topic: 34, Keyword number: 8
psychological: Topic: 34, Keyword number: 9
america: Topic: 35, Keyword number: 0
teenagers: Topic: 35, Keyword number: 1
politically_correctly: Topic: 36, Keyword number: 0
power_even: Topic: 36, Keyword number: 1
stand_remember: Topic: 36, Keyword number: 2
later_meanwhile: Topic: 36, Keyword number: 3
magic_intrigue: Topic: 36, Keyword number: 4
films_one: Topic: 36, Keyword number: 5
wright_does--and: Topic: 37, Keyword number: 0
isn't_complete: Topic: 37, Keyword number: 1
storyteller_master: Topic: 37, Keyword number: 2
avant_garde: Topic: 37, Keyword number: 3
score_roger: Topic: 44, Keyword number: 0
spends_little: Topic: 44, Keyword number: 1
letting_critical: Topic: 44, Keyword number: 2
gratuitous_restraint: Topic: 44, Keyword number: 3
used_showy: Topic: 44, Keyword number: 4
right_job: Topic: 44, Keyword number: 5
film's_world: Topic: 44, Keyword number: 6
diner_edward: Topic: 44, Keyword number: 7
odd_blast: Topic: 44, Keyword number: 8
he's_leaving: Topic: 44, Keyword number: 9
perhaps_i'm: Topic: 44, Keyword number: 10
endearing_comedy: Topic: 44, Keyword number: 11
beauty_life: Topic: 44, Keyword number: 12
complete_misrepresentation: Topic: 44, Keyword number: 13
power_family: Topic: 44, Keyword number: 14
princess_calls: Topic: 44, Keyword number: 15
nicoletta_braschi: Topic: 44, Keyword number: 16
thoughtful: Topic: 44, Keyword number: 17
