full-fledged_rock: Topic: 5, Keyword number: 0
bad_hence: Topic: 5, Keyword number: 1
hansel_wants: Topic: 5, Keyword number: 2
winner_mitchell: Topic: 5, Keyword number: 3
bloated_feel: Topic: 5, Keyword number: 4
songs_stylistically: Topic: 5, Keyword number: 5
screen_adaptation: Topic: 5, Keyword number: 6
trask_music: Topic: 5, Keyword number: 7
tokyo_bay: Topic: 5, Keyword number: 8
major_studios: Topic: 5, Keyword number: 9
butte: Topic: 8, Keyword number: 0
carol: Topic: 8, Keyword number: 1
interesting_trivia: Topic: 8, Keyword number: 2
future_interesting: Topic: 8, Keyword number: 3
fiance_nick: Topic: 8, Keyword number: 4
impressive_bridget: Topic: 8, Keyword number: 5
particularly_impressive: Topic: 8, Keyword number: 6
focus_four: Topic: 8, Keyword number: 7
move_since: Topic: 8, Keyword number: 8
sid_joint-smoking: Topic: 8, Keyword number: 9
arizona_butte: Topic: 8, Keyword number: 10
beth_relationship: Topic: 8, Keyword number: 11
hinted_nick: Topic: 8, Keyword number: 12
word_rest: Topic: 8, Keyword number: 13
found_interesting: Topic: 8, Keyword number: 14
bridget_fonda: Topic: 8, Keyword number: 15
bridget: Topic: 8, Keyword number: 16
discussing: Topic: 8, Keyword number: 17
relationship: Topic: 8, Keyword number: 18
roberta: Topic: 10, Keyword number: 0
wes: Topic: 10, Keyword number: 1
roberta_guaspari: Topic: 10, Keyword number: 2
inner_city: Topic: 10, Keyword number: 3
heart_still: Topic: 10, Keyword number: 4
guaspari_could: Topic: 10, Keyword number: 5
highly_convincing: Topic: 10, Keyword number: 6
chord_music: Topic: 10, Keyword number: 7
family_despite: Topic: 10, Keyword number: 8
agreeable_movie: Topic: 10, Keyword number: 9
heartfelt_chick: Topic: 10, Keyword number: 10
goal_watching: Topic: 10, Keyword number: 11
life-altering_decision: Topic: 10, Keyword number: 12
moments_feeling: Topic: 10, Keyword number: 13
authentic_moments: Topic: 10, Keyword number: 14
build-up_movie: Topic: 10, Keyword number: 15
dramatic_build-up: Topic: 10, Keyword number: 16
woman_it's: Topic: 10, Keyword number: 17
cope_father: Topic: 10, Keyword number: 18
like_schoolteacher's: Topic: 10, Keyword number: 19
flaming_fireball: Topic: 10, Keyword number: 20
adian_quinn: Topic: 10, Keyword number: 21
forceful_stamina: Topic: 10, Keyword number: 22
makes_music: Topic: 10, Keyword number: 23
team_streep: Topic: 10, Keyword number: 24
previous: Topic: 15, Keyword number: 0
questions: Topic: 15, Keyword number: 1
creation: Topic: 15, Keyword number: 2
human: Topic: 15, Keyword number: 3
throughout: Topic: 15, Keyword number: 4
characters: Topic: 15, Keyword number: 5
scientist: Topic: 15, Keyword number: 6
science: Topic: 15, Keyword number: 7
neo: Topic: 15, Keyword number: 8
surreal: Topic: 15, Keyword number: 9
living: Topic: 15, Keyword number: 10
leader: Topic: 15, Keyword number: 11
saw: Topic: 15, Keyword number: 12
looks: Topic: 15, Keyword number: 13
surrogate_sister: Topic: 15, Keyword number: 14
doubts: Topic: 15, Keyword number: 15
terrible: Topic: 15, Keyword number: 16
philosophical: Topic: 15, Keyword number: 17
reeves: Topic: 15, Keyword number: 18
humanity: Topic: 15, Keyword number: 19
total: Topic: 15, Keyword number: 20
carter: Topic: 15, Keyword number: 21
scare: Topic: 15, Keyword number: 22
grave: Topic: 15, Keyword number: 23
minutes_screen: Topic: 15, Keyword number: 24
homer_wells: Topic: 16, Keyword number: 0
pass_away: Topic: 16, Keyword number: 1
dog_director: Topic: 16, Keyword number: 2
means_least: Topic: 16, Keyword number: 3
rachel_portman: Topic: 16, Keyword number: 4
handled_sub-standardly: Topic: 16, Keyword number: 5
example_irving: Topic: 16, Keyword number: 6
huerta_dissolute: Topic: 16, Keyword number: 7
candy_set: Topic: 16, Keyword number: 8
pilot_paul: Topic: 16, Keyword number: 9
lovely_lonely: Topic: 16, Keyword number: 10
there's_kate: Topic: 16, Keyword number: 11
populate_apple: Topic: 16, Keyword number: 12
brethren_populate: Topic: 16, Keyword number: 13
mentor_father: Topic: 16, Keyword number: 14
decision_splendid: Topic: 16, Keyword number: 15
decisions_gone: Topic: 16, Keyword number: 16
novels_disappointingly: Topic: 16, Keyword number: 17
screen_adaptations: Topic: 16, Keyword number: 18
written_screenplay: Topic: 16, Keyword number: 19
wwii: Topic: 16, Keyword number: 20
stapleton: Topic: 16, Keyword number: 21
absolutely_right: Topic: 16, Keyword number: 22
lasse: Topic: 16, Keyword number: 23
father_figure: Topic: 16, Keyword number: 24
private_ryan: Topic: 17, Keyword number: 0
saving: Topic: 17, Keyword number: 1
troop: Topic: 17, Keyword number: 2
dreamworks: Topic: 17, Keyword number: 3
great_delivery: Topic: 17, Keyword number: 4
strangely_weak: Topic: 17, Keyword number: 5
flat_many: Topic: 17, Keyword number: 6
certainly_kids: Topic: 17, Keyword number: 7
spurting: Topic: 17, Keyword number: 8
isn't_spared: Topic: 17, Keyword number: 9
hand-held_camera: Topic: 17, Keyword number: 10
right_heart: Topic: 17, Keyword number: 11
roles_films: Topic: 17, Keyword number: 12
like_armageddon's: Topic: 17, Keyword number: 13
generally_delivers: Topic: 17, Keyword number: 14
time_plays: Topic: 17, Keyword number: 15
scenes_tom: Topic: 17, Keyword number: 16
genre_biggest: Topic: 17, Keyword number: 17
returned_form: Topic: 17, Keyword number: 18
harrowing_saddening: Topic: 17, Keyword number: 19
hailed_greatest: Topic: 17, Keyword number: 20
sizemore_matt: Topic: 17, Keyword number: 21
one_major: Topic: 17, Keyword number: 22
it's_grosses: Topic: 17, Keyword number: 23
beginning_solidify: Topic: 17, Keyword number: 24
green: Topic: 20, Keyword number: 0
mile: Topic: 20, Keyword number: 1
guards: Topic: 20, Keyword number: 2
duncan: Topic: 20, Keyword number: 3
guard: Topic: 20, Keyword number: 4
prisoners: Topic: 20, Keyword number: 5
prison: Topic: 20, Keyword number: 6
true: Topic: 20, Keyword number: 7
roles: Topic: 20, Keyword number: 8
coffey: Topic: 20, Keyword number: 9
wetmore: Topic: 20, Keyword number: 10
edgecomb: Topic: 20, Keyword number: 11
darabont: Topic: 20, Keyword number: 12
three_hour: Topic: 20, Keyword number: 13
hour: Topic: 20, Keyword number: 14
tom_hanks: Topic: 20, Keyword number: 15
paul: Topic: 20, Keyword number: 16
sometimes_green: Topic: 20, Keyword number: 17
executions: Topic: 20, Keyword number: 18
michael_jeter: Topic: 20, Keyword number: 19
delacroix_michael: Topic: 20, Keyword number: 20
eduard_delacroix: Topic: 20, Keyword number: 21
delacroix: Topic: 20, Keyword number: 22
eduard: Topic: 20, Keyword number: 23
john_coffey: Topic: 20, Keyword number: 24
spiritual_nature: Topic: 21, Keyword number: 0
quandary: Topic: 23, Keyword number: 0
penn_subtle: Topic: 23, Keyword number: 1
unnecessary_dispensing: Topic: 23, Keyword number: 2
war_set: Topic: 23, Keyword number: 3
war_waste: Topic: 23, Keyword number: 4
flawed_provokes: Topic: 23, Keyword number: 5
despite_whatever: Topic: 23, Keyword number: 6
movie_necessarily: Topic: 23, Keyword number: 7
unbelievable: Topic: 23, Keyword number: 8
produces: Topic: 23, Keyword number: 9
period_heroine: Topic: 26, Keyword number: 0
latch: Topic: 28, Keyword number: 0
criminals_pumpkin: Topic: 28, Keyword number: 1
hamlet: Topic: 29, Keyword number: 0
english: Topic: 29, Keyword number: 1
horatio: Topic: 29, Keyword number: 2
denmark: Topic: 29, Keyword number: 3
branagh's: Topic: 29, Keyword number: 4
classic: Topic: 29, Keyword number: 5
kenneth: Topic: 29, Keyword number: 6
high: Topic: 29, Keyword number: 7
calm_exteriors: Topic: 29, Keyword number: 8
banquet_learn: Topic: 29, Keyword number: 9
breaks_banquet: Topic: 29, Keyword number: 10
could_read: Topic: 29, Keyword number: 11
suppose_could: Topic: 29, Keyword number: 12
written_rigmarole: Topic: 29, Keyword number: 13
help_plot: Topic: 29, Keyword number: 14
educator: Topic: 29, Keyword number: 15
course_hopefully: Topic: 29, Keyword number: 16
understand_unless: Topic: 29, Keyword number: 17
quite_difficult: Topic: 29, Keyword number: 18
genius_appreciate: Topic: 29, Keyword number: 19
flashback-type_images: Topic: 29, Keyword number: 20
presenting_flashback-type: Topic: 29, Keyword number: 21
stretches_dialogue: Topic: 29, Keyword number: 22
elusive_stretches: Topic: 29, Keyword number: 23
branagh_attempts: Topic: 29, Keyword number: 24
larry: Topic: 31, Keyword number: 0
flynt_althea: Topic: 31, Keyword number: 1
bank_robber: Topic: 31, Keyword number: 2
carter's_sister: Topic: 31, Keyword number: 3
unduly_rushed: Topic: 31, Keyword number: 4
seem_unduly: Topic: 31, Keyword number: 5
get_main: Topic: 31, Keyword number: 6
flynt_rush: Topic: 31, Keyword number: 7
norton's_isaacman: Topic: 31, Keyword number: 8
sense_frustration: Topic: 31, Keyword number: 9
counterpart_lawyer: Topic: 31, Keyword number: 10
eyes_onscreen: Topic: 31, Keyword number: 11
make_endearing: Topic: 31, Keyword number: 12
right_mixture: Topic: 31, Keyword number: 13
career-topping: Topic: 31, Keyword number: 14
entirely_engaging: Topic: 31, Keyword number: 15
hits_conclusion: Topic: 31, Keyword number: 16
monologue_set: Topic: 31, Keyword number: 17
courtroom_appearances: Topic: 31, Keyword number: 18
outlandish_stunts: Topic: 31, Keyword number: 19
surprisingly_wonderfully: Topic: 31, Keyword number: 20
paralyzed_assassination: Topic: 31, Keyword number: 21
incarceration_paralyzed: Topic: 31, Keyword number: 22
railed: Topic: 31, Keyword number: 23
adult_periodical: Topic: 31, Keyword number: 24
reservoir_dogs: Topic: 35, Keyword number: 0
tarantino: Topic: 35, Keyword number: 1
reservoir: Topic: 35, Keyword number: 2
rather: Topic: 35, Keyword number: 3
simple_good: Topic: 35, Keyword number: 4
relevance: Topic: 35, Keyword number: 5
unfolds: Topic: 35, Keyword number: 6
buscemi: Topic: 35, Keyword number: 7
cops: Topic: 35, Keyword number: 8
pink: Topic: 35, Keyword number: 9
reveal: Topic: 35, Keyword number: 10
bank: Topic: 35, Keyword number: 11
sequences: Topic: 35, Keyword number: 12
white: Topic: 35, Keyword number: 13
carpark_sets: Topic: 35, Keyword number: 14
allows_successful: Topic: 35, Keyword number: 15
normal_asked: Topic: 35, Keyword number: 16
viv: Topic: 35, Keyword number: 17
centrestage_ashley: Topic: 35, Keyword number: 18
coups_casting-against-type: Topic: 35, Keyword number: 19
sacked_find: Topic: 35, Keyword number: 20
movies_roots: Topic: 35, Keyword number: 21
hodge_let: Topic: 35, Keyword number: 22
guess_can't: Topic: 35, Keyword number: 23
ending_made: Topic: 35, Keyword number: 24
admit: Topic: 39, Keyword number: 0
von: Topic: 40, Keyword number: 0
sunny: Topic: 40, Keyword number: 1
works: Topic: 40, Keyword number: 2
schroeder: Topic: 40, Keyword number: 3
japanese: Topic: 40, Keyword number: 4
dershowitz: Topic: 40, Keyword number: 5
cliffhanger: Topic: 40, Keyword number: 6
flaws: Topic: 40, Keyword number: 7
hong: Topic: 40, Keyword number: 8
many_different: Topic: 40, Keyword number: 9
obviously: Topic: 40, Keyword number: 10
comatose: Topic: 40, Keyword number: 11
deep: Topic: 40, Keyword number: 12
different: Topic: 40, Keyword number: 13
many: Topic: 40, Keyword number: 14
times: Topic: 40, Keyword number: 15
neglect: Topic: 40, Keyword number: 16
adulterous: Topic: 40, Keyword number: 17
know_happened: Topic: 40, Keyword number: 18
jeremy: Topic: 40, Keyword number: 19
engrossing: Topic: 40, Keyword number: 20
magnificent: Topic: 40, Keyword number: 21
process: Topic: 40, Keyword number: 22
film_also: Topic: 40, Keyword number: 23
law: Topic: 40, Keyword number: 24
carlito's: Topic: 41, Keyword number: 0
carlito: Topic: 41, Keyword number: 1
depalma: Topic: 41, Keyword number: 2
reformed: Topic: 41, Keyword number: 3
cheap_entertainment: Topic: 41, Keyword number: 4
gorefest_clooney: Topic: 41, Keyword number: 5
impalement_overturned: Topic: 41, Keyword number: 6
impalement: Topic: 41, Keyword number: 7
tarantino_bring: Topic: 41, Keyword number: 8
everything_overdone: Topic: 41, Keyword number: 9
fire_jumping: Topic: 41, Keyword number: 10
pull_gun: Topic: 41, Keyword number: 11
find_well: Topic: 41, Keyword number: 12
confident_powerful: Topic: 41, Keyword number: 13
world_couldn't: Topic: 41, Keyword number: 14
thievery_world: Topic: 41, Keyword number: 15
held_iron: Topic: 41, Keyword number: 16
backbone_solid: Topic: 41, Keyword number: 17
integrated_fully: Topic: 41, Keyword number: 18
distraction_never: Topic: 41, Keyword number: 19
becomes_distraction: Topic: 41, Keyword number: 20
limited_actor: Topic: 41, Keyword number: 21
station_sequence: Topic: 41, Keyword number: 22
shootout_strike: Topic: 41, Keyword number: 23
double_climactic: Topic: 41, Keyword number: 24
proof_life: Topic: 43, Keyword number: 0
soldiers: Topic: 43, Keyword number: 1
love_war: Topic: 43, Keyword number: 2
men_women: Topic: 43, Keyword number: 3
von_trier: Topic: 43, Keyword number: 4
filmmaking_dizziness: Topic: 43, Keyword number: 5
dizziness: Topic: 43, Keyword number: 6
scenes_bulk: Topic: 43, Keyword number: 7
ends_getting: Topic: 43, Keyword number: 8
performance_crowe's: Topic: 43, Keyword number: 9
together_tony: Topic: 43, Keyword number: 10
pieced: Topic: 43, Keyword number: 11
magazine_article: Topic: 43, Keyword number: 12
creates_complex: Topic: 43, Keyword number: 13
film_notable: Topic: 43, Keyword number: 14
matters_hands: Topic: 43, Keyword number: 15
caruso_take: Topic: 43, Keyword number: 16
husband_things: Topic: 43, Keyword number: 17
return_husband: Topic: 43, Keyword number: 18
negotiator_rescue: Topic: 43, Keyword number: 19
thorne_crowe: Topic: 43, Keyword number: 20
works_auctioned: Topic: 43, Keyword number: 21
problem_company: Topic: 43, Keyword number: 22
soldiers_upon: Topic: 43, Keyword number: 23
bowman_david: Topic: 43, Keyword number: 24
virgil's: Topic: 44, Keyword number: 0
comes_refreshing: Topic: 44, Keyword number: 1
sorvino_film's: Topic: 44, Keyword number: 2
illness_far: Topic: 44, Keyword number: 3
giving_explanation: Topic: 44, Keyword number: 4
take_realism: Topic: 44, Keyword number: 5
eyes_perhaps: Topic: 44, Keyword number: 6
therapist_one: Topic: 44, Keyword number: 7
character_play: Topic: 44, Keyword number: 8
multifaceted_character: Topic: 44, Keyword number: 9
easily_come: Topic: 44, Keyword number: 10
dramatic_pieces: Topic: 44, Keyword number: 11
managed_come: Topic: 44, Keyword number: 12
hilarious_woody: Topic: 44, Keyword number: 13
sorvino_made: Topic: 44, Keyword number: 14
always_believable: Topic: 44, Keyword number: 15
role_always: Topic: 44, Keyword number: 16
macho_type: Topic: 44, Keyword number: 17
compliment_must: Topic: 44, Keyword number: 18
country_amy's: Topic: 44, Keyword number: 19
used_blind: Topic: 44, Keyword number: 20
contrast_life: Topic: 44, Keyword number: 21
well_later: Topic: 44, Keyword number: 22
joyous_moments: Topic: 44, Keyword number: 23
massaging: Topic: 44, Keyword number: 24
private_party: Topic: 45, Keyword number: 0
local: Topic: 47, Keyword number: 0
pinkett: Topic: 47, Keyword number: 1
danvers: Topic: 47, Keyword number: 2
